,Player,Club,Minutes Played
0,Iker Casillas,FC Porto,16267
1,Cristiano Ronaldo,Manchester United FC,16189
2,Lionel Messi,Paris-Saint German,13584
3,Raul Gonzalez,Schalke,12179
4,Sergio Ramos,Paris-Saint German,12121
5,Manueal Neuer,Bayern Munich,12120
6,Buffon,Juventus,12000
7,Paulo Maldini,AC Milan,11932
8,Xavi Hernandez,FC Barcelona,11851
9,Roberto Carlos,Real Madrid,11239
10,Karim Benzema,Real Madrid,11128
11,Toni Kroos,Real Madrid,11101
12,Ryan Giggs,Manchester United FC,11089
13,Gerard Pique,FC Barcelona,10735
14,Xabi Alonso,Bayern Munich,10562
15,Sergio Busquets,FC Barcelona,10408
16,Zlatan Ibrahimovic,AC Milan,10140
17,Puyol,FC Barcelona,10092
18,Lahm,Bayern Munich,10039
19,Seedorf,AC Milan,10014
20,Dani Alves,Paris-Saint German,10004
21,Peter Cech,Arsenal,9995
22,Luka Modric,Real Madrid,9939
